Actual,Predicted_Linear Regression,Error_Linear Regression,Predicted_Lasso Regression,Error_Lasso Regression,Predicted_Ridge Regression,Error_Ridge Regression,Predicted_SVR,Error_SVR
470.2690237,407.4862525,62.78277118,410.94222,59.32680368,411.7387659,58.5302578,416.1821453,54.08687845
286.4092944,300.019222,-13.6099276,305.815516,-19.40622163,300.246949,-13.83765459,299.9787419,-13.56944752
552.2693747,621.0861004,-68.81672567,630.6709797,-78.40160493,627.5236285,-75.25425372,633.9471735,-81.67779879
267.740417,323.92639,-56.18597297,322.7029705,-54.96255351,323.0912829,-55.35086592,324.8660465,-57.12562949
111.1127149,75.23503773,35.87767721,82.60426119,28.50845375,75.09856527,36.01414967,74.87004447,36.24267047
359.1281131,397.5281612,-38.40004808,399.7672375,-40.63912438,397.7765994,-38.64848627,400.7598014,-41.63168834
173.8874745,187.1471807,-13.25970619,200.0929361,-26.20546167,194.4175867,-20.53011219,192.4401145,-18.55263999
196.3151415,177.9754948,18.33964668,187.2881155,9.027026048,181.5210793,14.79406221,177.9334957,18.38164581
555.4019371,428.9269469,126.4749902,432.6898312,122.7121059,433.4937084,121.9082288,438.7659572,116.6359799
163.2145833,156.1785123,7.036071029,157.7159597,5.49862361,155.516733,7.697850238,152.5164433,10.69814002
382.0384386,354.060825,27.97761364,341.4832287,40.55520993,346.9456296,35.092809,353.0826377,28.95580096
221.4343855,238.8711283,-17.43674286,233.7372352,-12.30284967,233.162465,-11.72807954,235.1216141,-13.68722861
36.00027803,56.31941949,-20.31914145,54.94261359,-18.94233555,58.29805404,-22.297776,54.47838439,-18.47810636
603.9358824,621.2822311,-17.34634869,620.7530079,-16.81712548,620.8115824,-16.87569999,625.1116133,-21.17573087
330.7836403,423.3353501,-92.55170972,426.9051767,-96.12153636,426.171852,-95.38821165,420.4972586,-89.71361826
383.914142,407.2100131,-23.29587112,406.5850497,-22.67090773,405.9265543,-22.01241236,408.8180961,-24.90395414
586.7988633,630.434581,-43.63571768,626.6515098,-39.85264653,627.3665512,-40.56768785,636.4231516,-49.62428826
466.9720738,407.9738882,58.99818562,410.4421544,56.52991939,410.6803582,56.2917156,412.5952229,54.37685095
119.4824,151.0906319,-31.60823191,159.0724909,-39.5900909,153.1067715,-33.62437157,151.8398093,-32.35740933
440.4442377,355.9118358,84.53240198,352.9606863,87.48355141,355.01817,85.42606771,354.6291902,85.81504749
461.3060121,470.4288696,-9.122857581,470.6178072,-9.311795121,469.9104406,-8.604428544,471.4756826,-10.16967058
45.91711193,71.2362748,-25.31916287,65.94070676,-20.02359482,72.90362879,-26.98651685,70.6131593,-24.69604736
314.8447103,255.5501379,59.29457241,254.8685359,59.97617445,255.2728867,59.57182358,254.8212636,60.02344675
389.3845083,411.9275777,-22.54306937,404.9169877,-15.53247935,405.5229778,-16.13846952,409.793926,-20.4094177
215.4338699,215.951603,-0.517733127,219.9329611,-4.499091223,217.0963043,-1.6624344,217.447064,-2.013194105
472.5695408,632.513851,-159.9443102,630.4907414,-157.9212006,631.1358903,-158.5663495,632.8453904,-160.2758496
156.0383299,188.0509653,-32.01263542,184.4461281,-28.40779818,184.4385825,-28.40025258,181.8270867,-25.78875678
573.2085394,460.5027836,112.7057558,459.8545771,113.3539622,458.4882637,114.7202756,463.6390773,109.569462
237.7686221,218.2156153,19.55300681,215.3521055,22.41651661,215.2614434,22.50717874,217.4335708,20.33505133
321.0007658,417.8960028,-96.89523704,420.5039755,-99.50320969,418.7847096,-97.78394381,421.1855391,-100.1847733
242.751717,366.9572899,-124.2055729,358.8433187,-116.0916017,360.2912717,-117.5395547,361.2891146,-118.5373976
150.5392948,124.4523276,26.08696726,121.786788,28.75250683,123.4833621,27.05593276,121.3356773,29.20361751
347.8959667,425.973655,-78.07768822,423.8963975,-76.00043073,425.5302219,-77.63425512,426.2339557,-78.33798897
157.1065717,177.5060474,-20.39947567,167.0743624,-9.967790651,171.6837914,-14.57721967,170.2231299,-13.11655819
417.1740954,366.7443314,50.42976403,366.3616874,50.81240793,366.3475725,50.82652292,367.8325189,49.34157645
251.1073065,369.1597112,-118.0524048,359.8827411,-108.7754347,362.2481858,-111.1408793,363.2866101,-112.1793036
200.2582591,152.6113246,47.64693451,153.0947862,47.16347293,151.8677767,48.39048243,149.7645971,50.493662
184.1120897,172.9038898,11.20819988,171.1638404,12.94824935,175.0810324,9.031057296,175.4112164,8.700873287
228.7960084,252.3936302,-23.59762178,266.1106743,-37.31466595,260.2509962,-31.4549878,260.4731879,-31.67717953
247.1745627,344.6689779,-97.49441529,341.3359901,-94.16142742,343.6013535,-96.4267908,345.6833198,-98.50875712
669.5210117,565.9784627,103.542549,567.2075771,102.3134346,565.8714135,103.6495982,568.1394283,101.3815834
685.7681265,569.0000251,116.7681014,568.2768109,117.4913156,568.6615314,117.1065951,570.7317191,115.0364074
603.3651643,510.0149174,93.35024687,513.6368913,89.72827298,511.6778499,91.68731438,513.2219986,90.14316567
502.6040622,636.1830233,-133.578961,636.7382614,-134.1341991,636.3572695,-133.7532072,640.3402456,-137.7361834
563.9803273,656.3893141,-92.40898688,658.1260619,-94.14573464,658.2270408,-94.24671349,661.5632267,-97.58289939
397.6919501,433.1650402,-35.47309005,426.9650331,-29.27308296,428.9610327,-31.26908252,430.6101612,-32.91821105
284.8625063,303.7848856,-18.92237934,304.4347122,-19.57220587,303.264352,-18.40184572,301.9039408,-17.04143454
510.454375,620.5397143,-110.0853393,626.8433648,-116.3889898,624.8162542,-114.3618792,631.6710704,-121.2166954
318.210126,340.0974152,-21.88728919,330.7149009,-12.5047749,333.7559683,-15.54584232,334.6387419,-16.42861595
386.8349333,312.197722,74.63721127,314.4248256,72.41010772,313.3120855,73.52284777,314.0064688,72.8284645
307.6469281,309.2336284,-1.586700348,312.9951847,-5.348256656,311.0704973,-3.423569186,312.5217324,-4.874804337
179.8388199,138.7290973,41.10972259,142.2315212,37.60729867,137.6163974,42.22242245,139.2474545,40.5913654
518.954763,532.3264782,-13.37171529,528.4195602,-9.464797272,529.1536153,-10.19885231,528.7958882,-9.841125232
264.6757476,232.5080436,32.16770404,229.2329052,35.44284234,230.9988767,33.67687092,232.3399916,32.33575601
212.166525,180.1539915,32.01253343,168.2862373,43.88028767,174.9532905,37.21323446,173.6077116,38.55881341
286.1314526,291.0415665,-4.910113956,293.9422326,-7.810780065,294.4943618,-8.362909191,293.8892005,-7.757747946
396.3698341,389.7627929,6.607041185,391.1577405,5.212093638,392.0134187,4.356415422,384.984642,11.38519206
669.2986265,620.0599173,49.23870913,617.3720734,51.9265531,617.2840764,52.0145501,623.4525971,45.84602937
733.4425367,577.5700962,155.8724404,580.8313382,152.6111985,579.5661044,153.8764323,585.9651002,147.4774364
671.4712089,543.2957134,128.1754956,545.7321833,125.7390257,545.9770036,125.4942054,548.0034238,123.4677851
392.3027601,478.3909231,-86.088163,478.4445787,-86.14181866,477.7825569,-85.47979689,480.6717635,-88.36900349
410.6863449,393.1027641,17.58358084,396.4971964,14.18914852,394.1506985,16.53564641,394.9607741,15.72557081
493.0149509,521.2037326,-28.18878177,513.0742703,-20.05931944,514.8640949,-21.84914402,516.4067963,-23.39184542
321.3724051,413.7060546,-92.33364951,410.9933052,-89.62090014,412.6983307,-91.32592564,415.1192381,-93.74683301
382.4570671,460.3515361,-77.89446897,462.4929778,-80.03591064,461.4911239,-79.03405675,464.4868012,-82.02973409
263.1611767,318.0276053,-54.86642861,313.9272411,-50.76606442,315.956385,-52.79520826,316.3998422,-53.23866552
210.2567597,168.3907364,41.86602323,170.4088085,39.84795119,167.6957111,42.56104855,166.5793609,43.67739874
197.4639216,180.4720516,16.99187004,188.6118004,8.852121217,186.2464961,11.21742548,184.460094,13.00382765
353.3385451,357.6234353,-4.284890189,357.0352306,-3.696685479,357.8067009,-4.468155807,358.2870834,-4.948538304
203.1132957,248.1549991,-45.04170335,252.5834421,-49.47014632,250.3340884,-47.2207927,248.2499255,-45.13662973
492.7012709,433.2344147,59.46685619,435.0440773,57.65719363,436.3654732,56.33579767,441.9333388,50.76793215
106.9485906,100.1677976,6.780793033,100.1552526,6.793337992,100.8063802,6.1422104,99.09586033,7.852730267
546.3787899,650.3394337,-103.9606439,648.3574289,-101.978639,649.584495,-103.2057052,653.9119678,-107.5331779
510.6268914,598.7062737,-88.07938226,596.7948926,-86.16800116,597.6112251,-86.98433367,600.2922444,-89.66535297
410.342709,353.0962961,57.24641283,354.6819774,55.66073158,354.6182502,55.72445873,351.9465416,58.39616739
364.1617948,434.1612396,-69.99944484,431.8793423,-67.71754749,432.9513053,-68.78951049,431.0548791,-66.89308432
181.7809396,179.9056127,1.875326943,184.6380517,-2.857112077,180.4141173,1.366822281,181.6520414,0.128898225
634.7265312,622.79956,11.92697127,621.5792177,13.14731349,621.427637,13.29889427,622.8745358,11.85199546
561.5796822,572.3196287,-10.73994648,572.561464,-10.98178178,571.1777852,-9.598103007,575.0801428,-13.50046054
732.2985127,571.4849612,160.8135515,576.3438625,155.9546502,575.90423,156.3942827,579.0757382,153.2227745
407.5520588,433.6341202,-26.08206138,432.1832492,-24.63119046,431.0453349,-23.49327617,435.5299529,-27.97789414
624.98601,551.0168524,73.9691576,542.1676612,82.81834881,544.7076941,80.27831593,550.0961248,74.88988518
663.4393972,545.0461905,118.3932067,550.5775132,112.861884,548.98086,114.4585372,556.2600288,107.1793685
96.03520852,130.7552088,-34.72000032,128.0661028,-32.03089424,129.5803777,-33.5451692,127.364281,-31.32907251
412.584838,486.522172,-73.93733402,481.5733473,-68.98850934,483.9442542,-71.35941625,488.8092437,-76.22440572
398.3194964,592.8327056,-194.5132092,587.0550351,-188.7355387,589.215205,-190.8957086,591.0001169,-192.6806205
279.0950483,235.0191743,44.07587397,225.4034672,53.69158109,231.1751632,47.91988506,231.845063,47.24998528
55.6373708,105.4793266,-49.84195579,106.5488687,-50.91149793,106.4574915,-50.82012066,101.4022338,-45.76486303
609.9082747,508.0621068,101.8461679,513.2082555,96.70001924,511.5439703,98.36430443,515.6045057,94.30376905
441.6378571,463.5989995,-21.96114238,463.3307263,-21.6928692,462.0665072,-20.42865011,466.1692947,-24.53143755
303.8032264,374.6688451,-70.8656187,370.9295048,-67.1262784,373.7488463,-69.94561989,377.0546599,-73.25143344
