Number_of_Riders,Number_of_Drivers,Number_of_Past_Rides,Average_Ratings,Expected_Ride_Duration,Rating_Category,Customer_Loyalty_Status_Gold,Customer_Loyalty_Status_Regular,Customer_Loyalty_Status_Silver,Location_Category_Rural,Location_Category_Suburban,Location_Category_Urban,Vehicle_Type_Economy,Vehicle_Type_Premium,Time_of_Booking_Afternoon,Time_of_Booking_Evening,Time_of_Booking_Morning,Time_of_Booking_Night,Cost_Low,Cost_Medium,Cost_High
90,45,13,4.47,90,Excellent,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False
58,39,72,4.06,43,Excellent,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False
42,31,0,3.99,76,Good,False,False,True,True,False,False,False,True,True,False,False,False,False,True,False
89,28,67,4.31,134,Excellent,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True
78,22,74,3.77,149,Good,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True
59,35,83,3.51,128,Good,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False
93,43,44,4.41,16,Excellent,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False
62,39,83,3.59,47,Good,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False
79,14,71,3.74,128,Good,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True
42,6,21,3.85,128,Good,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False
86,17,99,4.69,167,Excellent,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True
60,38,15,4.14,144,Excellent,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True
24,8,50,4.12,164,Excellent,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True
36,24,88,4.22,83,Excellent,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False
63,13,74,4.95,102,Excellent,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False
39,12,30,4.51,140,Excellent,False,False,True,False,False,True,False,True,True,False,False,False,False,False,True
38,28,35,3.93,54,Good,False,False,True,True,False,False,False,True,True,False,False,False,False,True,False
46,14,21,4.71,15,Excellent,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False
33,7,49,4.31,22,Excellent,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False
31,7,24,4.82,87,Excellent,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False
96,45,6,4.95,11,Excellent,False,True,False,False,False,True,False,True,True,False,False,False,True,False,False
22,11,79,4.48,15,Excellent,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False
74,16,6,3.97,139,Good,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False
24,12,10,3.6,45,Good,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False
48,19,72,3.81,65,Good,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False
56,13,36,4.81,162,Excellent,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True
72,33,66,4.39,30,Excellent,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False
97,75,76,4.7,158,Excellent,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True
62,33,39,3.91,129,Good,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True
57,38,54,4.1,131,Excellent,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True
25,7,13,3.99,81,Good,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False
75,56,94,4.79,153,Excellent,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True
39,9,39,4.64,48,Excellent,True,False,False,False,False,True,False,True,True,False,False,False,True,False,False
35,24,73,3.76,105,Good,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True
68,32,34,3.58,77,Good,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False
96,43,97,3.68,91,Good,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False
28,11,52,4.33,94,Excellent,True,False,False,False,True,False,False,True,True,False,False,False,False,False,True
25,15,65,4.88,101,Excellent,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True
28,6,2,4.29,89,Excellent,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False
73,17,14,4.81,170,Excellent,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True
36,18,88,3.73,92,Good,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False
56,10,55,4.5,45,Excellent,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False
97,81,52,4.56,125,Excellent,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True
63,9,89,3.87,166,Good,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True
78,33,35,4.46,116,Excellent,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False
29,10,25,3.77,91,Good,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False
73,33,60,3.88,161,Good,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True
94,29,67,3.59,96,Good,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False
54,28,83,4.49,32,Excellent,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False
67,6,15,3.53,123,Good,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True
23,8,27,4.73,117,Excellent,False,False,True,False,False,True,True,False,True,False,False,False,False,False,True
70,14,16,4.3,53,Excellent,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False
20,10,70,4.92,65,Excellent,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False
95,84,18,3.86,112,Good,True,False,False,False,True,False,False,True,True,False,False,False,False,False,True
43,16,40,4.89,106,Excellent,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True
97,55,94,4.62,150,Excellent,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True
32,20,44,3.55,68,Good,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False
95,25,72,4.16,128,Excellent,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True
47,15,14,4.84,89,Excellent,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False
25,11,33,3.85,94,Good,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False
37,22,76,4.72,69,Excellent,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False
59,39,49,3.78,98,Good,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False
42,20,88,4.64,29,Excellent,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False
53,11,2,3.5,81,Good,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False
79,64,91,4.57,164,Excellent,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True
59,23,41,4.97,91,Excellent,True,False,False,False,False,True,False,True,False,True,False,False,False,False,True
40,29,72,4.3,147,Excellent,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True
76,40,77,4.17,28,Excellent,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False
41,26,96,3.91,169,Good,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True
83,14,80,4.77,64,Excellent,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False
44,17,15,4.0,98,Excellent,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False
91,73,61,4.39,15,Excellent,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False
54,16,8,4.5,67,Excellent,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False
59,37,86,4.67,95,Excellent,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False
72,43,28,4.87,132,Excellent,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True
47,9,49,4.44,96,Excellent,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False
32,22,49,4.65,60,Excellent,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False
