Number_of_Riders,Number_of_Drivers,Number_of_Past_Rides,Average_Ratings,Expected_Ride_Duration,Historical_Cost_of_Ride,Predicted_Cost_of_Ride,Error,Absolute_Error,Percentage_Error
38,8,78,3.57,114,470.2690237026412,411.743884296493,58.52513940614824,58.52513940614824,12.445033896843404
83,18,12,4.98,81,286.409294385432,306.97936658900267,-20.570072203570646,20.570072203570646,-7.182054705211035
22,7,15,3.53,180,552.2693747461685,646.2529483619094,-93.98357361574085,93.98357361574085,-17.017705111556683
29,13,44,4.29,87,267.7404170012178,324.5714821932727,-56.83106519205489,56.83106519205489,-21.226180876455572
91,14,19,4.78,19,111.11271494112724,83.18124670988402,27.931468231243215,27.931468231243215,25.137958555006623
68,23,96,4.77,105,359.128113102171,393.7726833033077,-34.64457020113667,34.64457020113667,-9.646855519573423
32,6,13,4.75,53,173.88747446193491,203.9937744138228,-30.106299951887877,30.106299951887877,-17.313667959723194
84,54,59,4.98,43,196.31514152174805,189.35238306793698,6.9627584538110625,6.9627584538110625,3.546725127689511
27,7,89,3.6,120,555.4019371049674,433.5388000493215,121.8631370556459,121.8631370556459,21.94143176576904
91,31,12,4.39,39,163.21458328772866,159.32621514111912,3.888368146609537,3.888368146609537,2.382365636871301
28,18,100,3.62,92,382.03843862699455,339.6093217070444,42.42911691995016,42.42911691995016,11.105981134368543
32,22,49,4.65,60,221.4343854791753,235.64207855294535,-14.20769307377006,14.20769307377006,-6.41620904676804
38,7,28,3.85,12,36.00027803358747,51.918204696028454,-15.917926662440983,15.917926662440983,-44.21612146325622
71,25,72,4.46,169,603.9358824371426,619.115188462926,-15.179306025783376,15.179306025783376,-2.513396946134134
88,71,42,4.87,109,330.78364034759613,430.38529508117966,-99.60165473358353,99.60165473358353,-30.11081643243284
50,25,89,4.74,107,383.9141419544756,402.9371199737492,-19.02297801927358,19.02297801927358,-4.955008409544162
35,22,82,3.79,174,586.7988633141081,633.0032418588303,-46.2043785447222,46.2043785447222,-7.873972059824768
28,9,26,3.95,114,466.9720738288303,415.93395751619573,51.03811631263454,51.03811631263454,10.929586408488891
27,12,1,4.93,41,119.4823999754907,166.07944006859893,-46.597040093108234,46.597040093108234,-38.99908279601568
75,32,20,3.69,96,440.4442377359072,357.7715116813406,82.67272605456662,82.67272605456662,18.7703048357594
33,14,38,4.89,127,461.3060120664082,471.05711823803887,-9.751106171630681,9.751106171630681,-2.113804268006579
32,5,80,3.55,14,45.91711193197189,56.11327624719695,-10.196164315225062,10.196164315225062,-22.205587168311247
26,11,10,4.22,69,314.84471031916905,259.58705195617193,55.25765836299712,55.25765836299712,17.550765997300864
31,21,77,4.83,107,389.3845083155804,403.119193129783,-13.734684814202637,13.734684814202637,-3.527280752286948
62,21,61,4.57,56,215.4338699200544,218.14935963063195,-2.7154897105775433,2.7154897105775433,-1.2604748322931938
48,23,0,4.46,174,472.56954081275165,637.7495189047675,-165.1799780920158,165.1799780920158,-34.953581182555695
55,42,24,4.49,45,156.03832988580584,189.23544231297393,-33.19711242716809,33.19711242716809,-21.27497291945054
88,7,11,3.64,130,573.2085393656391,464.9968086203522,108.2117307452869,108.2117307452869,18.878248196553933
31,17,71,4.46,55,237.76862211931405,214.11594505804803,23.65267706126602,23.65267706126602,9.947770589088467
70,7,13,4.09,117,321.0007657787772,423.6030839856982,-102.60231820692104,102.60231820692104,-31.963262753594513
34,24,3,4.41,97,242.75171700488076,365.9280225349303,-123.17630553004952,123.17630553004952,-50.741682509942024
77,46,97,4.2,25,150.53929481479082,116.28753810887923,34.25175670591159,34.25175670591159,22.752701710242288
72,39,39,3.77,115,347.8959667426787,429.25186391680205,-81.35589717412336,81.35589717412336,-23.38512226394917
44,28,30,3.93,42,157.10657171647188,168.48615554260817,-11.379583826136297,11.379583826136297,-7.243225857332614
74,23,45,4.07,99,417.1740953777763,366.9470108995975,50.227084478178824,50.227084478178824,12.039837812243631
39,29,12,4.24,97,251.1073064574406,366.6628000672747,-115.55549360983412,115.55549360983412,-46.01837168342979
51,25,21,4.43,38,200.2582591219043,156.12107942952628,44.13717969237803,44.13717969237803,22.040129523701772
30,7,85,3.74,44,184.11208970364285,164.97349463889915,19.138595064743697,19.138595064743697,10.39507785477328
24,5,57,4.96,70,228.7960083986281,265.8268504065731,-37.03084200794501,37.03084200794501,-16.185090931930375
25,11,33,3.85,94,247.1745626508575,345.45161670948073,-98.27705405862324,98.27705405862324,-39.76018122764636
85,27,8,4.11,157,669.5210116683382,574.0457899898793,95.47522167845898,95.47522167845898,14.260227836696288
32,13,21,4.64,156,685.7681264991488,571.6195098688867,114.14861663026215,114.14861663026215,16.645366300850355
59,9,30,4.83,140,603.3651642705413,512.4008744902355,90.96428978030576,90.96428978030576,15.076158712324753
69,26,48,4.28,175,502.6040622268877,639.7219973905403,-137.1179351636526,137.1179351636526,-27.281501577230433
52,7,57,4.82,180,563.9803272683639,653.6053543314363,-89.62502706307237,89.62502706307237,-15.891516552921406
57,45,78,4.43,112,397.6919501475396,427.4437803501446,-29.751830202604992,29.751830202604992,-7.481124571811767
79,24,0,4.26,82,284.8625062809567,308.3328467570652,-23.470340476108504,23.470340476108504,-8.239182046990758
39,12,54,3.77,176,510.4543750320455,634.922805725015,-124.46843069296949,124.46843069296949,-24.38385030692617
48,38,45,4.17,87,318.2101259853132,334.2633942638372,-16.053268278524,16.053268278524,-5.04486405918614
62,14,33,4.23,85,386.834933294766,315.11401630996755,71.72091698479846,71.72091698479846,18.54044472507542
50,15,62,4.51,83,307.6469280930268,311.41103196711265,-3.7641038740858335,3.7641038740858335,-1.2235142074773577
22,12,49,4.88,35,179.8388198801664,144.68434525604712,35.154474624119274,35.154474624119274,19.547767633008306
50,29,2,4.81,143,518.9547629602604,533.2082975672128,-14.253534606952371,14.253534606952371,-2.7465851793413165
57,26,92,4.11,58,264.675747588135,224.481909955228,40.19383763290699,40.19383763290699,15.186067480369637
24,12,10,3.6,45,212.16652497375452,170.49521249093468,41.67131248281984,41.67131248281984,19.64085167911134
25,7,13,3.99,81,286.13145256368455,298.54945257123074,-12.418000007546198,12.418000007546198,-4.339963291795861
84,74,7,4.4,101,396.3698341114785,400.3266636721535,-3.9568295606749757,3.9568295606749757,-0.9982670779033408
86,17,99,4.69,167,669.2986264658781,608.7419379404078,60.55668852547035,60.55668852547035,9.047783176432027
65,27,62,3.54,162,733.4425366578176,588.8361363811567,144.6064002766609,144.6064002766609,19.716118584505548
95,56,86,3.79,147,671.4712089285143,549.1802069384837,122.29100199003062,122.29100199003062,18.21239695223476
80,31,91,4.61,127,392.3027600530253,473.5266299387914,-81.22386988576613,81.22386988576613,-20.70438400045607
43,16,40,4.89,106,410.6863449474928,396.8359302389549,13.850414708537869,13.850414708537869,3.37250431599051
42,30,26,4.79,138,493.0149508584995,516.3424688135486,-23.32751795504913,23.32751795504913,-4.731604571915787
26,12,9,3.75,115,321.37240510655704,419.6088246344786,-98.23641952792156,98.23641952792156,-30.567783035182945
60,16,56,4.33,126,382.4570671338528,462.24795840872684,-79.79089127487407,79.79089127487407,-20.862705420200474
86,26,31,3.69,85,263.1611767019543,315.0655505037502,-51.90437380179594,51.90437380179594,-19.72341606474147
79,11,1,4.35,45,210.25675967194184,171.61293335084582,38.643826321096014,38.643826321096014,18.379350267449652
29,6,24,4.37,50,197.46392160702555,190.70643282434423,6.757488782681321,6.757488782681321,3.422138448222177
44,17,15,4.0,98,353.33854512223814,362.2800295700736,-8.941484447835478,8.941484447835478,-2.530571479186386
100,54,91,4.59,61,203.1132957396489,248.98181287766192,-45.86851713801303,45.86851713801303,-22.582725060405405
25,8,83,3.53,121,492.7012709061221,437.2008048010423,55.500466105079795,55.500466105079795,11.26452667820593
34,12,38,4.18,24,106.94859059241988,99.59426286098466,7.35432773143522,7.35432773143522,6.876507386116472
21,9,38,4.54,179,546.3787898746884,651.2483354666308,-104.86954559194237,104.86954559194237,-19.193560865712616
49,20,52,4.74,162,510.62689141008207,595.6676751088477,-85.04078369876561,85.04078369876561,-16.654192156611224
90,56,61,4.38,91,410.34270896598935,355.521169727198,54.82153923879133,54.82153923879133,13.359939884623401
68,46,8,4.21,116,364.1617948077249,439.82038705343,-75.65859224570511,75.65859224570511,-20.776092749007997
55,29,92,4.85,44,181.78093960037765,181.98320208257365,-0.20226248219600507,0.20226248219600507,-0.11126715630398518
73,17,14,4.81,170,634.7265312250814,621.4420091012853,13.284522123796137,13.284522123796137,2.0929520778272446
76,8,40,4.68,157,561.5796822292014,569.7847261556634,-8.205043926462054,8.205043926462054,-1.461064954111583
27,6,74,4.75,157,732.2985126943609,572.8667071640592,159.43180553030163,159.43180553030163,21.771422823692614
89,8,18,3.83,121,407.5520587692045,434.9055202377376,-27.353461468533112,27.353461468533112,-6.711648458147845
40,29,72,4.3,147,624.9860100296204,544.1284571643876,80.85755286523283,80.85755286523283,12.93749805078048
53,12,79,3.6,154,663.4393972369916,554.573179636637,108.86621760035462,108.86621760035462,16.409368821590466
76,40,77,4.17,28,96.03520851587072,123.9429226486923,-27.90771413282158,27.90771413282158,-29.059877688722434
56,37,96,3.83,130,412.5848379812361,482.9479701571165,-70.36313217588042,70.36313217588042,-17.05422150754858
