Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Rider_Driver_Ratio,Log_Ride_Duration,Adjusted_Historical_Cost_of_Ride,Expected_Ride_Duration,Log_Ride_Duration,Vehicle_Type_Premium,Vehicle_Type_Economy,Actual_Adjusted_Cost,Predicted_Adjusted_Cost,Error
61,38,Rural,Silver,100,Evening,Premium,78,1.564102564102564,4.3694478524670215,383.3178042225475,-0.4393085387389785,-0.0931688268057726,True,False,383.3178042225475,314.7635526436725,68.55425157887504
58,21,Suburban,Gold,72,Afternoon,Economy,10,2.6363636363636362,2.3978952727983707,35.88598786056829,-1.8230856665067452,-3.001000080141881,False,True,35.88598786056829,43.67635896879659,-7.7903711082283
44,28,Rural,Gold,30,Evening,Premium,42,1.5172413793103448,3.7612001156935624,157.10657171647188,-1.171896429910149,-0.990269820712855,True,False,157.10657171647188,189.73500999091561,-32.62843827444374
59,23,Urban,Gold,41,Evening,Premium,91,2.4583333333333335,4.5217885770490405,449.5456339145253,-0.17476291137161135,0.13151760796834475,True,False,449.5456339145253,360.63497440931314,88.91065950521215
65,5,Rural,Silver,24,Night,Economy,119,10.833333333333334,4.787491742782046,301.40392677127403,0.3950276706504102,0.5234016375378869,False,True,301.40392677127403,416.35500487801824,-114.9510781067442
56,37,Suburban,Silver,96,Afternoon,Premium,130,1.4736842105263157,4.875197323201151,412.5848379812361,0.6188739707304901,0.6527580800008721,True,False,412.5848379812361,499.3610899284515,-86.77625194721543
85,36,Rural,Silver,64,Evening,Economy,152,2.2972972972972974,5.030437921392435,506.6928860981053,1.06656657089065,0.8817215212310704,False,True,506.6928860981053,534.340550456187,-27.64766435808167
25,8,Urban,Silver,11,Afternoon,Economy,109,2.7777777777777777,4.700480365792417,422.4367392307234,0.19153103421397397,0.3950690716122157,False,True,422.4367392307234,380.74550824220626,41.691230988517134
78,31,Urban,Gold,6,Evening,Premium,64,2.4375,4.174387269895637,271.0126649576171,-0.7242038297499893,-0.38086252777232155,True,False,271.0126649576171,265.69622773971986,5.31643721789726
97,25,Urban,Regular,95,Night,Premium,101,3.730769230769231,4.624972813284271,332.2293764400841,0.02873372506482493,0.2837034284585318,True,False,332.2293764400841,396.0709240680232,-63.84154762793912
91,31,Urban,Regular,12,Night,Economy,39,2.84375,3.6888794541139363,163.21458328772866,-1.23294542084108,-1.096935137261767,False,True,163.21458328772866,135.79838862535905,27.416194662369605
73,27,Rural,Gold,98,Evening,Economy,57,2.607142857142857,4.060443010546419,251.1556502722435,-0.8666514752554947,-0.548918242791383,False,True,251.1556502722435,197.58898123671867,53.566669035524825
84,74,Suburban,Regular,7,Afternoon,Premium,101,1.12,4.624972813284271,396.3698341114785,0.02873372506482493,0.2837034284585318,True,False,396.3698341114785,396.0709240680232,0.2989100434552938
21,9,Suburban,Regular,38,Morning,Economy,179,2.1,5.19295685089021,546.3787898746884,1.616007489269028,1.1214197303104254,False,True,546.3787898746884,631.2632244743272,-84.88443459963878
77,30,Urban,Regular,99,Evening,Premium,179,2.4838709677419355,5.19295685089021,689.7483154802385,1.616007489269028,1.1214197303104254,True,False,689.7483154802385,675.012942781912,14.7353726983265
59,9,Suburban,Silver,30,Afternoon,Economy,140,5.9,4.948759890378168,603.3651642705413,0.8223706071669264,0.7612550757791527,False,True,603.3651642705413,491.36518412891587,111.99998014162543
52,14,Suburban,Silver,87,Afternoon,Premium,98,3.466666666666667,4.59511985013459,425.97356882411634,-0.032315265866105954,0.23967346945742696,True,False,425.97356882411634,385.4283105772164,40.54525824689995
93,28,Urban,Silver,63,Evening,Economy,38,3.206896551724138,3.6635616461296463,111.72394123957052,-1.2532950844847237,-1.1342762226996475,False,True,111.72394123957052,132.41574836605355,-20.691807126483027
33,14,Suburban,Regular,87,Evening,Premium,17,2.2,2.8903717578961645,118.98653335805044,-1.68063802100124,-2.274649421443671,True,False,118.98653335805044,107.72166920457937,11.264864153471066
32,14,Urban,Gold,75,Night,Economy,177,2.1333333333333333,5.181783550292085,761.0167600703148,1.5753081619817406,1.1049402952615217,False,True,761.0167600703148,624.0744835497371,136.9422765205777
73,17,Rural,Regular,14,Evening,Premium,170,4.055555555555555,5.14166355650266,634.7265312250814,1.4328605164762354,1.0457675534195838,True,False,634.7265312250814,642.6744836149813,-7.9479523898999105
50,25,Urban,Silver,89,Afternoon,Economy,107,1.9230769230769231,4.68213122712422,383.9141419544756,0.1508317069266867,0.36800603538309945,False,True,383.9141419544756,373.63376947204796,10.280372482427651
56,10,Urban,Silver,55,Night,Economy,45,5.090909090909091,3.828641396489095,151.15212964816465,-1.1108474389792182,-0.8908010740587713,False,True,151.15212964816465,156.22455417709244,-5.072424528927797
93,23,Suburban,Silver,34,Evening,Premium,125,3.875,4.836281906951478,386.169069413996,0.517125652512272,0.5953619624565956,True,False,386.169069413996,481.5070845274212,-95.33801511342523
38,8,Urban,Silver,78,Night,Economy,114,4.222222222222222,4.74493212836325,470.2690237026412,0.2932793524321921,0.46063071364109326,False,True,470.2690237026412,398.5401044717576,71.7289192308836
100,24,Urban,Silver,88,Night,Economy,56,4.0,4.04305126783455,173.66696747925593,-0.8870011388991383,-0.5745692213800708,False,True,173.66696747925593,194.12128831928683,-20.454320840030903
92,69,Urban,Silver,88,Afternoon,Economy,18,1.3142857142857143,2.9444389791664403,45.11502370436019,-1.6602883573575962,-2.1949059961797253,False,True,45.11502370436019,67.04608826924294,-21.931064564882753
42,31,Rural,Silver,0,Afternoon,Premium,76,1.3125,4.343805421853684,329.7954689622466,-0.4800078660262658,-0.13098869624161416,True,False,329.7954689622466,307.73007639660796,22.06539256563866
49,30,Rural,Silver,57,Evening,Economy,154,1.5806451612903225,5.043425116919247,630.8608868741742,1.1072658981779373,0.9008762591951962,False,True,630.8608868741742,541.5098269201721,89.35105995400204
71,61,Suburban,Regular,79,Afternoon,Economy,147,1.1451612903225807,4.997212273764115,591.2989763287625,0.9648182526724318,0.8327172098156472,False,True,591.2989763287625,516.4254895466871,74.87348678207536
32,20,Rural,Silver,44,Night,Economy,68,1.5238095238095237,4.23410650459726,301.62262644973293,-0.6428051751754148,-0.29278298128623276,False,True,301.62262644973293,235.9229547377641,65.69967171196885
33,6,Rural,Gold,90,Night,Premium,139,4.714285714285714,4.941642422609304,521.8019208244536,0.8020209435232828,0.750757564611383,True,False,521.8019208244536,531.5369588001827,-9.735037975729028
42,12,Rural,Gold,92,Afternoon,Economy,123,3.230769230769231,4.820281565605037,319.2967130915861,0.47642632522498474,0.5717631535224477,False,True,319.2967130915861,430.620423082978,-111.32370999139187
86,17,Urban,Regular,99,Morning,Economy,167,4.777777777777778,5.123963979403259,669.2986264658781,1.3718115255453045,1.019662551711173,False,True,669.2986264658781,588.1517368183171,81.14688964756101
