Number_of_Riders,Number_of_Drivers,Number_of_Past_Rides,Average_Ratings,Expected_Ride_Duration,Historical_Cost_of_Ride,Predicted_Cost_of_Ride,Error
61,38,100,4.34,78,383.3178042225475,299.80593690183457,83.51186732071295
58,21,72,4.14,10,35.88598786056829,51.14650639405602,-15.260518533487726
44,28,30,3.93,42,157.10657171647188,168.26974136821514,-11.16316965174326
59,23,41,4.97,91,449.5456339145253,344.40533523998374,105.14029867454155
65,5,24,3.54,119,301.40392677127403,427.0230788622701,-125.61915209099607
56,37,96,3.83,130,412.5848379812361,480.6690133526095,-68.08417537137342
85,36,64,4.32,152,506.6928860981053,560.6639448205297,-53.971058722424345
25,8,11,4.0,109,422.4367392307234,397.8071946223628,24.629544608360618
78,31,6,3.78,64,271.0126649576171,245.93088898162085,25.081775975996266
97,25,95,4.91,101,332.2293764400841,377.10230746209714,-44.87293102201306
91,31,12,4.39,39,163.21458328772866,160.31237521843053,2.9022080692981262
73,27,98,3.97,57,251.1556502722435,217.79335491627262,33.36229535597087
84,74,7,4.4,101,396.3698341114785,400.15687062049983,-3.787036509021334
21,9,38,4.54,179,546.3787898746884,648.4157944891986,-102.03700461451012
77,30,99,4.7,179,689.7483154802385,654.8763640551421,34.87195142509643
59,9,30,4.83,140,603.3651642705413,510.7773395033355,92.5878247672058
52,14,87,3.54,98,425.97356882411634,355.51745917958834,70.456109644528
93,28,63,3.9,38,111.72394123957052,150.86507288746228,-39.141131647891754
33,14,87,4.81,17,118.98653335805044,77.1598809315471,41.826652426503344
32,14,75,4.49,177,761.0167600703148,641.7700778956091,119.24668217470571
73,17,14,4.81,170,634.7265312250814,620.4200761627707,14.30645506231076
50,25,89,4.74,107,383.9141419544756,399.49977963757107,-15.585637683095456
56,10,55,4.5,45,151.15212964816465,172.56997015712835,-21.417840508963707
93,23,34,4.23,125,386.169069413996,459.15925820370853,-72.99018878971253
38,8,78,3.57,114,470.2690237026412,410.3766281374967,59.89239556514451
100,24,88,4.49,56,173.66696747925593,215.06852745888037,-41.40155997962444
92,69,88,4.69,18,45.11502370436019,103.04823297468334,-57.933209270323154
42,31,0,3.99,76,329.7954689622466,291.31144006032275,38.484028901923864
49,30,57,4.83,154,630.8608868741742,569.6586601306539,61.20222674352033
71,61,79,3.85,147,591.2989763287625,551.977973250513,39.32100307824953
