Number_of_Riders,Number_of_Drivers,Number_of_Past_Rides,Expected_Ride_Duration,Customer_Loyalty_Status_Gold,Customer_Loyalty_Status_Regular,Customer_Loyalty_Status_Silver,Location_Category_Rural,Location_Category_Suburban,Location_Category_Urban,Vehicle_Type_Economy,Vehicle_Type_Premium,Time_of_Booking_Afternoon,Time_of_Booking_Evening,Time_of_Booking_Morning,Time_of_Booking_Night,Actual_Adjusted_Cost,Predicted_Adjusted_Cost,Error
61.0,38.0,100.0,78.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,383.3178042225475,319.1833236706351,64.13448055191242
58.0,21.0,72.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.7755575615628914e-17,0.0,35.88598786056829,32.183323670635104,3.702664189933188
44.0,28.0,30.0,42.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,157.10657171647188,185.1833236706351,-28.076751954163228
59.0,23.0,41.0,91.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,449.5456339145253,352.6833236706351,96.86231024389019
65.0,5.0,24.0,119.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,301.40392677127403,405.8083236706351,-104.40439689936107
56.0,37.0,96.0,130.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.7755575615628914e-17,0.0,412.5848379812361,510.6833236706351,-98.09848568939901
85.0,36.0,64.0,152.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,506.6928860981053,532.5583236706351,-25.8654375725298
25.0,8.0,11.0,109.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.7755575615628914e-17,0.0,422.4367392307234,376.1833236706351,46.253415560088285
78.0,31.0,6.0,64.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,0.0,271.0126649576171,261.6833236706351,9.329341286982014
97.0,25.0,95.0,101.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,332.2293764400841,391.6833236706351,-59.45394723055102
91.0,31.0,12.0,39.00000000000001,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0,163.21458328772866,131.9333236706351,31.281259617093554
