Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,riders_to_drivers_ratio,duration_per_rider,log_historical_cost,rating_ride_interaction,booking_category,location_code,loyalty_code,vehicle_code,Loyalty_Discount_Applied,Cumulative_Past_Rides_Discount,Traffic_Condition_Adjusted_Fare,Peak_Hours_Adjusted_Fare,demand_surge_multiplier,distance_adjustment,elasticity_fare_adjustment,Loyalty_Discount_Applied,True Value,Predicted Value,Absolute_Error,Percentage_Error
90,45,Urban,Silver,13,4.47,Night,Premium,90,284.25727302188227,1.9565217391304348,1.0,5.653391485426369,402.29999999999995,3,2,2,1,0.05,0.0,1,1,1.5,1.6,1.05,0.05,312.6830003240705,323.43427,10.75126481264823,3.438391214586472
58,39,Suburban,Silver,72,4.06,Evening,Economy,43,173.87475274940766,1.45,0.7413793103448276,5.16407001911421,174.57999999999998,1,1,2,0,0.05,0.01,1,1,1.5,0.66,1.05,0.05,191.26222802434845,191.83662,0.5743961211593671,0.30031863954143845
42,31,Rural,Silver,0,3.99,Afternoon,Premium,76,329.7954689622466,1.3125,1.8095238095238095,5.801500265843656,303.24,0,0,2,1,0.05,0.0,1,1,1.5,1.32,1.05,0.05,362.7750158584713,360.31982,2.4551916397213063,0.6767807959187424
89,28,Rural,Regular,67,4.31,Afternoon,Premium,134,470.2012317513198,3.0689655172413794,1.5056179775280898,6.15528524640722,577.54,0,0,1,1,0.0,0.01,1,1,1.5,2.48,1.05,0.0,517.2213549264518,522.5853,5.363972221985705,1.037074778698659
78,22,Rural,Regular,74,3.77,Afternoon,Economy,149,579.6814223640141,3.391304347826087,1.9102564102564104,6.364202280070172,561.73,0,0,1,0,0.0,0.01,1,1,1.5,2.7800000000000002,1.05,0.0,637.6495646004156,636.3417,1.3078897957281015,0.20511106230389936
59,35,Urban,Silver,83,3.51,Night,Economy,128,339.9553606047221,1.6388888888888888,2.169491525423729,5.831751561396875,449.28,3,2,2,0,0.05,0.01,1,1,1.5,2.36,1.05,0.05,373.95089666519436,372.56448,1.3864130226162388,0.3707473454349066
93,43,Suburban,Regular,44,4.41,Afternoon,Premium,16,104.06154127359152,2.1136363636363638,0.17204301075268819,4.6545462858312225,70.56,0,1,1,1,0.0,0.0,1,1,1.5,0.12,1.0,0.0,114.46769540095067,113.32034,1.1473523833725494,1.002337278962131
62,39,Rural,Gold,83,3.59,Afternoon,Premium,47,235.81186355605,1.55,0.7580645161290323,5.467266001231477,168.73,0,0,0,1,0.1,0.01,1,1,1.5,0.74,1.05,0.1,259.39304991165505,257.93094,1.46211119095193,0.5636662938540182
79,14,Rural,Silver,71,3.74,Evening,Economy,128,501.4125174833056,5.266666666666667,1.620253164556962,6.219421530216428,478.72,1,0,2,0,0.05,0.01,1,1,1.5,2.36,1.05,0.05,551.5537692316361,553.96674,2.4129666082076255,0.43748529024996136
42,6,Rural,Silver,21,3.85,Night,Premium,128,398.9933645706103,6.0,3.0476190476190474,5.991447958396916,492.8,3,0,2,1,0.05,0.0,1,1,1.5,2.36,1.05,0.05,438.89270102767136,441.75348,2.8607779762348855,0.6518171684186925
86,17,Urban,Regular,99,4.69,Morning,Economy,167,669.2986264658781,4.777777777777778,1.941860465116279,6.507723324228407,783.23,2,2,1,0,0.0,0.01,1,1,1.5,3.14,1.05,0.0,736.2284891124659,733.7706,2.4578592296534225,0.3338446237820011
60,38,Rural,Gold,15,4.14,Evening,Premium,144,414.9901047325251,1.5384615384615385,2.4,6.030661473277695,596.16,1,0,0,1,0.1,0.0,1,1,1.5,2.68,1.05,0.1,456.48911520577764,455.71323,0.7758888874182617,0.16996875973012063
24,8,Rural,Gold,50,4.12,Morning,Economy,164,490.41072171830416,2.6666666666666665,6.833333333333333,6.1972802785676215,675.6800000000001,2,0,0,0,0.1,0.01,1,1,1.5,3.08,1.05,0.1,539.4517938901346,537.4012,2.0506098081033315,0.3801284621403931
36,24,Suburban,Silver,88,4.22,Night,Premium,83,296.24287599192223,1.44,2.3055555555555554,5.694549568898234,350.26,3,1,2,1,0.05,0.01,1,1,1.5,1.46,1.05,0.05,325.8671635911145,325.52335,0.3438176438488654,0.1055085268671852
63,13,Rural,Regular,74,4.95,Afternoon,Premium,102,327.0888648717375,4.5,1.619047619047619,5.793284501176382,504.90000000000003,0,0,1,1,0.0,0.01,1,1,1.5,1.84,1.05,0.0,359.7977513589113,357.362,2.4357518471925346,0.6769780628125116
39,12,Urban,Silver,30,4.51,Afternoon,Premium,140,445.1368684239125,3.0,3.58974358974359,6.10062578481631,631.4,0,2,2,1,0.05,0.0,1,1,1.5,2.6,1.05,0.05,489.6505552663038,489.46545,0.18510116474129745,0.037802707002063424
38,28,Rural,Silver,35,3.93,Afternoon,Premium,54,244.5361718306458,1.3103448275862069,1.4210526315789473,5.503444275813553,212.22,0,0,2,1,0.05,0.0,1,1,1.5,0.88,1.05,0.05,268.9897890137104,269.33478,0.34498881832087136,0.12825349972793476
46,14,Suburban,Silver,21,4.71,Afternoon,Economy,15,47.31430863361691,3.066666666666667,0.32608695652173914,3.8777277617890613,70.65,0,1,2,0,0.05,0.0,1,1,1.5,0.1,1.0,0.05,52.045739496978605,52.564026,0.5182863819276449,0.9958286440674606
33,7,Suburban,Gold,49,4.31,Evening,Premium,22,129.8082629093964,4.125,0.6666666666666666,4.873732609118012,94.82,1,1,0,1,0.1,0.0,1,1,1.5,0.24,1.0,0.1,142.78908920033606,141.95895,0.8301353429141898,0.581371691326844
31,7,Suburban,Silver,24,4.82,Evening,Premium,87,382.9481103198511,3.875,2.806451612903226,5.950507414081542,419.34000000000003,1,1,2,1,0.05,0.0,1,1,1.5,1.54,1.05,0.05,421.24292135183623,422.8284,1.5854783063668947,0.3763809968079321
96,45,Urban,Regular,6,4.95,Afternoon,Premium,11,82.77279318243978,2.0869565217391304,0.11458333333333333,4.428108291079334,54.45,0,2,1,1,0.0,0.0,1,1,1.5,0.02,1.0,0.0,91.05007250068377,91.53337,0.48329847099591916,0.5308051467968788
22,11,Suburban,Silver,79,4.48,Night,Economy,15,64.07117255500656,1.8333333333333333,0.6818181818181818,4.175481633246282,67.2,3,1,2,0,0.05,0.01,1,1,1.5,0.1,1.0,0.05,70.47828981050722,70.95767,0.47938230863340436,0.6801843658838836
74,16,Rural,Regular,6,3.97,Morning,Economy,139,390.6687658288554,4.352941176470588,1.8783783783783783,5.970416497458822,551.83,2,0,1,0,0.0,0.0,1,1,1.5,2.58,1.05,0.0,429.73564241174097,429.56323,0.17240998986596878,0.040120011665399226
24,12,Urban,Regular,10,3.6,Evening,Premium,45,212.16652497375452,1.8461538461538463,1.875,5.36207366764574,162.0,1,2,1,1,0.0,0.0,1,1,1.5,0.7000000000000001,1.05,0.0,233.38317747112998,230.96855,2.4146258353877954,1.0346186308507561
