Actual,Predicted_lasso,Predicted_LinearRegression,Error_lasso,Error_LR
638.0445145,598.3182623,598.0776511,39.72625227,39.96686344
271.012665,245.0276049,244.7282075,25.9850601,26.28445743
319.9423796,368.4447252,368.4810736,-48.50234556,-48.53869403
163.2145833,159.1682671,159.2042632,4.046316229,4.010320085
336.5684837,328.961714,328.5835874,7.606769676,7.984896297
421.7762985,428.5051763,428.7824809,-6.728877756,-7.006182419
412.2556068,406.3968717,405.980751,5.858735061,6.274855772
158.89198,153.735205,153.7553263,5.156775083,5.136653726
359.1281131,392.1846347,392.5009247,-33.05652162,-33.37281159
472.5465909,412.8520821,412.7884584,59.69450886,59.75813254
457.0853189,412.0094589,412.2388274,45.07585998,44.84649143
669.2986265,608.9740665,609.2655619,60.32455992,60.03306458
248.9476554,265.5017144,265.2291981,-16.55405901,-16.28154276
397.6919501,425.2298367,425.3464371,-27.53788659,-27.65448691
350.2265836,478.3687075,478.293541,-128.142124,-128.0669575
135.1772701,114.5788772,114.7682576,20.59839292,20.40901253
199.8397441,188.5503703,188.2367816,11.28937381,11.60296248
674.6485036,594.7575704,595.0139211,79.89093316,79.6345825
408.12977,450.9602083,451.263772,-42.83043827,-43.13400202
631.631297,538.9696315,538.8357828,92.66166548,92.79551424
561.5796822,571.3044484,571.5520334,-9.724766132,-9.972351199
250.4603273,204.4884342,204.8827563,45.97189315,45.57757104
193.089112,183.4840631,183.3573898,9.605048947,9.731722161
359.053128,525.2469869,525.2783338,-166.1938589,-166.2252059
591.2989763,552.3261537,552.1302731,38.97282267,39.1687032
603.3651643,513.1490399,513.4686003,90.21612438,89.89656399
254.9510771,293.6726467,293.3013836,-38.72156955,-38.35030651
135.0058741,129.0056469,129.1062765,6.000227184,5.899597597
734.395119,601.8243596,601.8352005,132.5707594,132.5599185
430.3854879,616.0348156,616.1307847,-185.6493277,-185.7452968
466.9720738,416.4932934,416.3147336,50.47878046,50.65734025
97.67500136,141.9172977,142.1816719,-44.24229638,-44.50667052
157.1065717,167.3296825,167.1217086,-10.22311078,-10.0151369
215.4338699,216.7131284,216.8837862,-1.279258488,-1.449916238
222.568582,151.5917199,151.2718762,70.97686206,71.29670577
177.2030658,285.4250147,285.1432157,-108.2219489,-107.9401499
196.3151415,186.1443631,186.5353691,10.17077845,9.779772411
303.8032264,371.3894946,371.0409868,-67.58626822,-67.23776037
284.8625063,309.2605563,309.2291143,-24.39804998,-24.36660806
510.6268914,595.5127153,595.8007243,-84.88582386,-85.17383294
301.4039268,428.3977929,427.9931504,-126.9938662,-126.5892236
181.7809396,178.7562581,179.0971085,3.02468151,2.683831113
305.2426677,214.6720861,214.4092649,90.57058153,90.83340278
392.3027601,472.4816776,472.7117671,-80.1789175,-80.40900705
634.7265312,622.9803779,623.2868377,11.74615334,11.43969356
321.3724051,420.5518192,420.2519259,-99.17941413,-98.8795208
485.8784537,388.2258903,387.9672709,97.65256344,97.91118286
421.985262,389.1553843,389.1474774,32.82987769,32.83778463
329.4837131,433.8609171,433.9796094,-104.3772039,-104.4958962
118.9865334,77.09241745,77.40144227,41.89411591,41.58509109
561.438522,636.1182954,635.9074947,-74.67977345,-74.46897267
183.2701657,184.4632828,184.7037125,-1.193117159,-1.433546859
472.2157353,556.1874083,555.9828962,-83.97167301,-83.76716096
364.1617948,439.6524446,439.6053874,-75.49064977,-75.44359254
563.1508996,618.8106765,618.7991974,-55.65977692,-55.6482978
425.9735688,356.5730729,356.2003314,69.40049593,69.7732374
173.1577543,169.5374952,169.4780244,3.620259093,3.679729908
398.051726,346.3066328,346.4264185,51.74509313,51.62530747
674.1328476,601.6540023,601.3310709,72.47884537,72.80177674
472.5695408,638.9996958,639.103567,-166.430155,-166.5340262
227.18257,207.2447286,207.1768838,19.93784145,20.00568624
671.4712089,548.5868281,548.3628935,122.8843808,123.1083155
173.8874745,203.2433726,203.4841786,-29.35589814,-29.59670418
402.8569895,493.9707974,494.3368243,-91.11380792,-91.47983485
289.2390325,425.9270395,426.1751649,-136.6880071,-136.9361325
242.751717,365.5407235,365.5974044,-122.7890065,-122.8456874
314.8447103,259.3159026,259.2648077,55.52880772,55.57990266
324.0987674,389.3148994,389.4605726,-65.21613197,-65.36180513
396.3698341,398.6865452,398.7382017,-2.316711133,-2.368367555
266.4336179,259.1483405,258.7370393,7.285277405,7.696578657
