Location_Category,Number_of_Drivers,Number_of_Riders,Revenue,Total_Cost,Total_Profit,Revenue_Per_Minute,Profit_Per_Minute,Cost_Per_Transaction,Revenue_Per_Transaction
Urban,45,90,25583.154571969404,284.25727302188227,25298.897298947522,284.25727302188227,281.0988588771947,3.1584141446875806,284.25727302188227
Suburban,39,58,10084.735659465645,173.87475274940766,9910.860906716238,234.5287362666429,230.4851373654939,2.9978405646449597,173.87475274940766
Rural,31,42,13851.409696414357,329.7954689622466,13521.61422745211,182.25539074229417,177.91597667700145,7.852273070529681,329.7954689622466
Rural,28,89,41847.90962586746,470.2012317513198,41377.70839411614,312.29783302886165,308.788868612807,5.2831599073182005,470.20123175131977
Rural,22,78,45215.1509443931,579.6814223640141,44635.46952202908,303.4573888885443,299.56690954381935,7.43181310723095,579.6814223640141
Urban,35,59,20057.366275678603,339.9553606047221,19717.41091507388,156.6981740287391,154.0422727740147,5.761955264486815,339.9553606047221
Suburban,43,93,9677.723338444011,104.06154127359152,9573.66179717042,604.8577086527507,598.3538623231512,1.118941304017113,104.06154127359152
Rural,39,62,14620.3355404751,235.81186355605,14384.52367691905,311.0709689462787,306.0536952535968,3.8034171541298387,235.81186355605
Rural,14,79,39611.58888118114,501.4125174833056,39110.176363697836,309.46553813422764,305.54825284138934,6.346993892193741,501.4125174833055
Rural,6,42,16757.721311965634,398.9933645706103,16358.727947395024,130.9196977497315,127.80256208902362,9.49984201358596,398.9933645706103
Urban,17,86,57559.681876065515,669.2986264658781,56890.38324959964,344.6687537488953,340.6609775425128,7.782542168207885,669.2986264658781
Rural,38,60,24899.406283951506,414.9901047325251,24484.41617921898,172.91254363855214,170.03066791124292,6.916501745542084,414.9901047325251
Rural,8,24,11769.8573212393,490.41072171830416,11279.446599520996,71.76742269048354,68.77711341171339,20.433780071596008,490.41072171830416
Suburban,24,36,10664.7435357092,296.24287599192223,10368.500659717278,128.4908859724,124.9216946953889,8.228968777553396,296.24287599192223
Rural,13,63,20606.59848691946,327.0888648717375,20279.509622047724,202.0254753619555,198.81872178478162,5.191886743995833,327.0888648717375
Urban,12,39,17360.337868532588,445.1368684239125,16915.201000108675,124.00241334666134,120.82286428649053,11.413765857023398,445.1368684239125
Rural,28,38,9292.37452956454,244.5361718306458,9047.838357733894,172.08100980675076,167.5525621802573,6.435162416595942,244.5361718306458
Suburban,14,46,2176.458197146378,47.31430863361691,2129.1438885127614,145.09721314309186,141.94292590085075,1.0285719268177589,47.31430863361692
Suburban,7,33,4283.672676010081,129.8082629093964,4153.864413100685,194.7123943640946,188.81201877730385,3.9335837245271636,129.8082629093964
Suburban,7,31,11871.391419915384,382.9481103198511,11488.443309595534,136.45277494155613,132.0510725240866,12.353164849027454,382.9481103198511
Urban,45,96,7946.188145514219,82.77279318243978,7863.415352331779,722.3807405012926,714.8559411210708,0.8622165956504144,82.77279318243978
Suburban,11,22,1409.5657962101443,64.07117255500656,1345.4946236551377,93.97105308067628,89.69964157700919,2.912326025227571,64.07117255500656
Rural,16,74,28909.488671335297,390.6687658288554,28518.819905506443,207.98193288730428,205.17136622666507,5.279307646335884,390.6687658288554
Urban,12,24,5091.996599370108,212.16652497375452,4879.830074396354,113.1554799860024,108.44066831991897,8.840271873906438,212.1665249737545
Suburban,19,48,11311.590417864676,235.65813370551408,11075.932284159162,174.02446796714887,170.39895821783327,4.90954445219821,235.65813370551408
Rural,13,56,22767.219890989887,406.5574980533908,22360.662392936498,140.53839438882648,138.02878020331173,7.259955322381979,406.5574980533908
Rural,33,72,13138.158748294922,182.4744270596517,12955.68432123527,437.93862494316403,431.8561440411757,2.5343670424951625,182.4744270596517
