Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,d_s_ratio,demand_class,supply_class,demand_metric,supply_metric,adjusted_price,predicted_price_model1
90,45,Urban,Silver,13,4.47,Night,Premium,90,284.257273,2.0,high_demand,high_supply,1.1111111111111112,1.1842105263157894,284.257273,335.3529576765868
58,39,Suburban,Silver,72,4.06,Evening,Economy,43,173.8747527,1.49,low_demand,high_supply,1.45,1.0263157894736843,173.8747527,164.20527948958474
42,31,Rural,Silver,0,3.99,Afternoon,Premium,76,329.795469,1.35,low_demand,low_supply,1.05,2.8181818181818183,329.795469,302.7791789150855
89,28,Rural,Regular,67,4.31,Afternoon,Premium,134,470.2012318,3.18,high_demand,low_supply,1.0987654320987654,2.5454545454545454,564.24147816,505.3251408459373
78,22,Rural,Regular,74,3.77,Afternoon,Economy,149,579.6814224,3.55,low_demand,low_supply,1.95,2.0,579.6814224,545.8591717340009
59,35,Urban,Silver,83,3.51,Night,Economy,128,339.9553606,1.69,low_demand,low_supply,1.475,3.1818181818181817,339.9553606,487.34229967732267
93,43,Suburban,Regular,44,4.41,Afternoon,Premium,16,104.0615413,2.16,high_demand,high_supply,1.1481481481481481,1.131578947368421,104.0615413,72.03742874990533
62,39,Rural,Gold,83,3.59,Afternoon,Premium,47,235.8118636,1.59,low_demand,high_supply,1.55,1.0263157894736843,235.8118636,177.55436452925167
79,14,Rural,Silver,71,3.74,Evening,Economy,128,501.4125175,5.64,low_demand,low_supply,1.975,1.2727272727272727,501.4125175,463.7890176309001
42,6,Rural,Silver,21,3.85,Night,Premium,128,398.9933646,7.0,low_demand,low_supply,1.05,0.5454545454545454,398.9933646,464.17013911206766
86,17,Urban,Regular,99,4.69,Morning,Economy,167,669.2986265,5.06,high_demand,low_supply,1.0617283950617284,1.5454545454545454,803.1583517999999,612.5424474945385
60,38,Rural,Gold,15,4.14,Evening,Premium,144,414.9901047,1.58,low_demand,low_supply,1.5,3.4545454545454546,414.9901047,546.648985759599
24,8,Rural,Gold,50,4.12,Morning,Economy,164,490.4107217,3.0,low_demand,low_supply,0.6,0.7272727272727273,490.4107217,597.4761601957371
36,24,Suburban,Silver,88,4.22,Night,Premium,83,296.242876,1.5,low_demand,low_supply,0.9,2.1818181818181817,296.242876,322.4118434277007
63,13,Rural,Regular,74,4.95,Afternoon,Premium,102,327.0888649,4.85,low_demand,low_supply,1.575,1.1818181818181819,327.0888649,374.0016648934992
39,12,Urban,Silver,30,4.51,Afternoon,Premium,140,445.1368684,3.25,low_demand,low_supply,0.975,1.0909090909090908,445.1368684,512.8935320631966
38,28,Rural,Silver,35,3.93,Afternoon,Premium,54,244.5361718,1.36,low_demand,low_supply,0.95,2.5454545454545454,244.5361718,222.81995447029092
46,14,Suburban,Silver,21,4.71,Afternoon,Economy,15,47.31430863,3.29,low_demand,low_supply,1.15,1.2727272727272727,47.31430863,69.90641051316797
33,7,Suburban,Gold,49,4.31,Evening,Premium,22,129.8082629,4.71,low_demand,low_supply,0.825,0.6363636363636364,129.8082629,91.00653356615815
31,7,Suburban,Silver,24,4.82,Evening,Premium,87,382.9481103,4.43,low_demand,low_supply,0.775,0.6363636363636364,382.9481103,321.9748400614768
96,45,Urban,Regular,6,4.95,Afternoon,Premium,11,82.77279318,2.13,high_demand,high_supply,1.1851851851851851,1.1842105263157894,82.77279318,54.52606385824637
22,11,Suburban,Silver,79,4.48,Night,Economy,15,64.07117256,2.0,low_demand,low_supply,0.55,1.0,64.07117256,72.17190502879093
74,16,Rural,Regular,6,3.97,Morning,Economy,139,390.6687658,4.62,low_demand,low_supply,1.85,1.4545454545454546,390.6687658,505.6970537117589
24,12,Urban,Regular,10,3.6,Evening,Premium,45,212.166525,2.0,low_demand,low_supply,0.6,1.0909090909090908,212.166525,179.0818076239656
48,19,Suburban,Gold,72,3.81,Night,Premium,65,235.6581337,2.53,low_demand,low_supply,1.2,1.7272727272727273,235.6581337,251.44219953815545
56,13,Rural,Regular,36,4.81,Evening,Economy,162,406.5574981,4.31,low_demand,low_supply,1.4,1.1818181818181819,406.5574981,588.2836150892343
72,33,Rural,Gold,66,4.39,Morning,Premium,30,182.4744271,2.18,low_demand,low_supply,1.8,3.0,182.4744271,135.17615522147761
97,75,Urban,Silver,76,4.7,Night,Economy,158,652.6172973,1.29,high_demand,high_supply,1.1975308641975309,1.9736842105263157,652.6172973,583.8242837370474
