Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,d_s_ratio,demand_class,supply_class,demand_metric,supply_metric,predicted_price_pca
90,45,Urban,Silver,13,4.47,Night,Premium,90,284.257273,2.0,high_demand,high_supply,1.1111111111111112,1.1842105263157894,356.2445360797056
58,39,Suburban,Silver,72,4.06,Evening,Economy,43,173.8747527,1.49,low_demand,high_supply,1.45,1.0263157894736843,144.08012738220478
42,31,Rural,Silver,0,3.99,Afternoon,Premium,76,329.795469,1.35,low_demand,low_supply,1.05,2.8181818181818183,322.02969637100085
89,28,Rural,Regular,67,4.31,Afternoon,Premium,134,470.2012318,3.18,high_demand,low_supply,1.0987654320987654,2.5454545454545454,524.1826568177662
78,22,Rural,Regular,74,3.77,Afternoon,Economy,149,579.6814224,3.55,low_demand,low_supply,1.95,2.0,526.2259143735242
59,35,Urban,Silver,83,3.51,Night,Economy,128,339.9553606,1.69,low_demand,low_supply,1.475,3.1818181818181817,462.1556813334837
93,43,Suburban,Regular,44,4.41,Afternoon,Premium,16,104.0615413,2.16,high_demand,high_supply,1.1481481481481481,1.131578947368421,95.20890476426581
62,39,Rural,Gold,83,3.59,Afternoon,Premium,47,235.8118636,1.59,low_demand,high_supply,1.55,1.0263157894736843,202.90530839041494
79,14,Rural,Silver,71,3.74,Evening,Economy,128,501.4125175,5.64,low_demand,low_supply,1.975,1.2727272727272727,444.3992300931626
42,6,Rural,Silver,21,3.85,Night,Premium,128,398.9933646,7.0,low_demand,low_supply,1.05,0.5454545454545454,487.17267679332474
86,17,Urban,Regular,99,4.69,Morning,Economy,167,669.2986265,5.06,high_demand,low_supply,1.0617283950617284,1.5454545454545454,587.9342725171051
60,38,Rural,Gold,15,4.14,Evening,Premium,144,414.9901047,1.58,low_demand,low_supply,1.5,3.4545454545454546,562.7555208007147
24,8,Rural,Gold,50,4.12,Morning,Economy,164,490.4107217,3.0,low_demand,low_supply,0.6,0.7272727272727273,574.9004070613336
36,24,Suburban,Silver,88,4.22,Night,Premium,83,296.242876,1.5,low_demand,low_supply,0.9,2.1818181818181817,340.9626996275136
63,13,Rural,Regular,74,4.95,Afternoon,Premium,102,327.0888649,4.85,low_demand,low_supply,1.575,1.1818181818181819,398.0044507428208
39,12,Urban,Silver,30,4.51,Afternoon,Premium,140,445.1368684,3.25,low_demand,low_supply,0.975,1.0909090909090908,532.765522606388
38,28,Rural,Silver,35,3.93,Afternoon,Premium,54,244.5361718,1.36,low_demand,low_supply,0.95,2.5454545454545454,242.78298800708626
46,14,Suburban,Silver,21,4.71,Afternoon,Economy,15,47.31430863,3.29,low_demand,low_supply,1.15,1.2727272727272727,50.68006184227204
33,7,Suburban,Gold,49,4.31,Evening,Premium,22,129.8082629,4.71,low_demand,low_supply,0.825,0.6363636363636364,112.26474110317744
31,7,Suburban,Silver,24,4.82,Evening,Premium,87,382.9481103,4.43,low_demand,low_supply,0.775,0.6363636363636364,341.7878668532282
96,45,Urban,Regular,6,4.95,Afternoon,Premium,11,82.77279318,2.13,high_demand,high_supply,1.1851851851851851,1.1842105263157894,77.4168831329996
22,11,Suburban,Silver,79,4.48,Night,Economy,15,64.07117256,2.0,low_demand,low_supply,0.55,1.0,51.42243997288227
74,16,Rural,Regular,6,3.97,Morning,Economy,139,390.6687658,4.62,low_demand,low_supply,1.85,1.4545454545454546,486.02303025183585
24,12,Urban,Regular,10,3.6,Evening,Premium,45,212.166525,2.0,low_demand,low_supply,0.6,1.0909090909090908,197.78626961710802
48,19,Suburban,Gold,72,3.81,Night,Premium,65,235.6581337,2.53,low_demand,low_supply,1.2,1.7272727272727273,272.305281989743
56,13,Rural,Regular,36,4.81,Evening,Economy,162,406.5574981,4.31,low_demand,low_supply,1.4,1.1818181818181819,566.5802861678719
72,33,Rural,Gold,66,4.39,Morning,Premium,30,182.4744271,2.18,low_demand,low_supply,1.8,3.0,156.2247516422574
97,75,Urban,Silver,76,4.7,Night,Economy,158,652.6172973,1.29,high_demand,high_supply,1.1975308641975309,1.9736842105263157,559.8038080714266
62,33,Suburban,Regular,39,3.91,Evening,Premium,129,403.2270984,1.88,low_demand,low_supply,1.55,3.0,504.70023890129147
57,38,Suburban,Silver,54,4.1,Night,Premium,131,537.7848595,1.5,low_demand,low_supply,1.425,3.4545454545454546,517.6614228372075
25,7,Suburban,Silver,13,3.99,Morning,Premium,81,286.1314526,3.57,low_demand,low_supply,0.625,0.6363636363636364,322.1345188938309
75,56,Suburban,Gold,94,4.79,Evening,Premium,153,485.0546633,1.34,low_demand,high_supply,1.875,1.4736842105263157,575.5324989443013
39,9,Urban,Gold,39,4.64,Afternoon,Premium,48,171.0859835,4.33,low_demand,low_supply,0.975,0.8181818181818182,206.10077627886497
35,24,Suburban,Gold,73,3.76,Evening,Premium,105,485.8784537,1.46,low_demand,low_supply,0.875,2.1818181818181817,417.04407142646744
68,32,Suburban,Regular,34,3.58,Morning,Economy,77,294.7328865,2.12,low_demand,low_supply,1.7,2.909090909090909,278.40629109186244
96,43,Rural,Silver,97,3.68,Morning,Premium,91,392.8387204,2.23,high_demand,high_supply,1.1851851851851851,1.131578947368421,359.7138986002645
28,11,Suburban,Gold,52,4.33,Afternoon,Premium,94,456.1809468,2.55,low_demand,low_supply,0.7,1.0,371.6029927429464
25,15,Rural,Gold,65,4.88,Evening,Premium,101,502.5293208,1.67,low_demand,low_supply,0.625,1.3636363636363635,399.0026196029769
28,6,Suburban,Regular,2,4.29,Morning,Economy,89,244.2176617,4.67,low_demand,low_supply,0.7,0.5454545454545454,307.1258361114677
73,17,Rural,Regular,14,4.81,Evening,Premium,170,634.7265312,4.29,low_demand,low_supply,1.825,1.5454545454545454,637.5990339430341
36,18,Urban,Silver,88,3.73,Night,Premium,92,345.4067683,2.0,low_demand,low_supply,0.9,1.6363636363636365,367.98789522458054
56,10,Urban,Silver,55,4.5,Night,Economy,45,151.1521296,5.6,low_demand,low_supply,1.4,0.9090909090909091,151.72422558432868
97,81,Suburban,Regular,52,4.56,Evening,Economy,125,530.7599939,1.2,high_demand,high_supply,1.1975308641975309,2.1315789473684212,443.40101490877146
63,9,Rural,Regular,89,3.87,Afternoon,Premium,166,482.8501642,7.0,low_demand,low_supply,1.575,0.8181818181818182,620.850342197435
78,33,Urban,Silver,35,4.46,Morning,Premium,116,355.9595075,2.36,low_demand,low_supply,1.95,3.0,457.1226954650142
29,10,Suburban,Regular,25,3.77,Afternoon,Economy,91,303.9609626,2.9,low_demand,low_supply,0.725,0.9090909090909091,318.0550318977428
73,33,Suburban,Silver,60,3.88,Night,Premium,161,514.8771742,2.21,low_demand,low_supply,1.825,3.0,617.7881205242649
94,29,Urban,Regular,67,3.59,Evening,Premium,96,361.132355,3.24,high_demand,low_supply,1.1604938271604939,2.6363636363636362,387.0505360412365
54,28,Suburban,Silver,83,4.49,Night,Economy,32,80.26246462,1.93,low_demand,low_supply,1.35,2.5454545454545454,119.52231912328045
67,6,Rural,Gold,15,3.53,Night,Economy,123,420.6239113,11.17,low_demand,low_supply,1.675,0.5454545454545454,424.1824265501165
23,8,Urban,Silver,27,4.73,Afternoon,Economy,117,520.8926706,2.88,low_demand,low_supply,0.575,0.7272727272727273,408.710107571011
70,14,Urban,Silver,16,4.3,Morning,Economy,53,183.075791,5.0,low_demand,low_supply,1.75,1.2727272727272727,180.10413253873992
20,10,Rural,Silver,70,4.92,Evening,Economy,65,190.1374636,2.0,low_demand,low_supply,0.5,0.9090909090909091,226.94595491827374
95,84,Suburban,Gold,18,3.86,Afternoon,Premium,112,522.3021029,1.13,high_demand,high_supply,1.1728395061728396,2.210526315789474,442.263547274394
43,16,Urban,Silver,40,4.89,Night,Premium,106,410.6863449,2.69,low_demand,low_supply,1.075,1.4545454545454546,415.0150797582982
97,55,Suburban,Silver,94,4.62,Evening,Premium,150,584.9958711,1.76,high_demand,high_supply,1.1975308641975309,1.4473684210526316,568.2542566203191
