Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,d_s_ratio,demand_class,supply_class,demand_metric,supply_metric,Cost_Efficiency_Vehicle,Cost_Efficiency_Location,Location_Demand_Supply,Location_Demand_Efficiency,Time_Efficiency,base_price_branch,predicted_price
90,45,Urban,Silver,13,4.47,Night,Premium,90,284.257273,2.0,high_demand,high_supply,1.1111111111111112,1.1842105263157894,4.737621216666667,4.737621216666667,3.0676878612716765,0.6519568125718377,4.421779802222222,71.02166775329323,-948.0
58,39,Suburban,Silver,72,4.06,Evening,Economy,43,173.8747527,1.49,low_demand,high_supply,1.45,1.0263157894736843,2.9978405637931034,2.9978405637931034,3.130776397515528,0.47592028647667417,5.25667857,20.678856063426803,-96.0
42,31,Rural,Silver,0,3.99,Afternoon,Premium,76,329.795469,1.35,low_demand,low_supply,1.05,2.8181818181818183,11.778409607142859,6.281818457142858,3.511265060240964,0.3844768130114777,4.773355472368422,293.22567602093994,1079.0
89,28,Rural,Regular,67,4.31,Afternoon,Premium,134,470.2012318,3.18,high_demand,low_supply,1.0987654320987654,2.5454545454545454,7.924739861797752,4.2265279262921345,3.511265060240964,0.9056564928714808,3.859860858059702,161.08758244988718,-634.0
78,22,Rural,Regular,74,3.77,Afternoon,Economy,149,579.6814224,3.55,low_demand,low_supply,1.95,2.0,7.4318131076923075,5.945450486153846,3.511265060240964,1.0110316194005524,4.279527279463087,290.47089435395975,685.0
59,35,Urban,Silver,83,3.51,Night,Economy,128,339.9553606,1.69,low_demand,low_supply,1.475,3.1818181818181817,5.7619552644067795,8.64293289661017,3.0676878612716765,0.5509035066232029,3.7182617565625,158.47267041880087,349.0
93,43,Suburban,Regular,44,4.41,Afternoon,Premium,16,104.0615413,2.16,high_demand,high_supply,1.1481481481481481,1.131578947368421,1.6784119564516127,1.1189413043010752,3.130776397515528,0.6899247105970578,7.154230964375,3.519821019153806,-922.0
62,39,Rural,Gold,83,3.59,Afternoon,Premium,47,235.8118636,1.59,low_demand,high_supply,1.55,1.0263157894736843,5.705125732258065,3.042733723870968,3.511265060240964,0.4528282464357404,5.519001062978725,56.87439575835469,-108.0
79,14,Rural,Silver,71,3.74,Evening,Economy,128,501.4125175,5.64,low_demand,low_supply,1.975,1.2727272727272727,6.346993892405063,5.077595113924051,3.511265060240964,1.6062586854701733,5.092470880859375,250.7757906585487,621.0
42,6,Rural,Silver,21,3.85,Night,Premium,128,398.9933646,7.0,low_demand,low_supply,1.05,0.5454545454545454,14.249763021428572,7.599873611428572,3.511265060240964,1.9935834748743286,4.3639899253125,632.1088110578971,1209.0
